Em_IIL-C125,Em_IIL-Luf18,Em_IIL-Sp24,Em_IIL-Sus
OG0000000,OG0000000,OG0000000,OG0000000
OG0000001,OG0000001,OG0000001,OG0000001
OG0000003,OG0000003,OG0000003,OG0000003
OG0000004,OG0000004,OG0000004,OG0000004
OG0000005,OG0000005,OG0000005,OG0000005
OG0000006,OG0000007,OG0000006,OG0000006
OG0000008,OG0000008,OG0000007,OG0000007
OG0000009,OG0000009,OG0000008,OG0000008
OG0000010,OG0000011,OG0000009,OG0000009
OG0000011,OG0000013,OG0000010,OG0000012
OG0000012,OG0000014,OG0000011,OG0000014
OG0000013,OG0000016,OG0000012,OG0000015
OG0000014,OG0000017,OG0000014,OG0000016
OG0000015,OG0000018,OG0000015,OG0000017
OG0000016,OG0000021,OG0000016,OG0000018
OG0000017,OG0000025,OG0000017,OG0000021
OG0000018,OG0000027,OG0000018,OG0000025
OG0000021,OG0000028,OG0000021,OG0000027
OG0000027,OG0000030,OG0000025,OG0000028
OG0000028,OG0000031,OG0000027,OG0000030
OG0000030,,OG0000028,OG0000031
OG0000031,,OG0000030,