Ec_IIL-C105,Ec_IIL-Dm01,Ec_IIL-Lc32,Ec_IIL-Sp06,Ec_IIL-Sus,Ecass_ATCC12755,Ecass_D1_1,Efaecium_EP02,Efaecium_VRE001,Eflaves,Ehirae_697,Ehirae_UPM01,Em_IIL-C125,Em_IIL-Luf18,Em_IIL-Sp24,Em_IIL-Sus,Emun_15-1A,Emun_Pe103,Eplantarum,Eraff
OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000,OG0000000
OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000002,OG0000003,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001,OG0000001
OG0000002,OG0000002,OG0000002,OG0000002,OG0000002,OG0000002,OG0000002,OG0000003,OG0000004,OG0000002,OG0000003,OG0000003,OG0000003,OG0000003,OG0000003,OG0000003,OG0000002,OG0000003,OG0000003,OG0000003
OG0000003,OG0000003,OG0000003,OG0000003,OG0000003,OG0000003,OG0000003,OG0000006,OG0000005,OG0000003,OG0000004,OG0000004,OG0000004,OG0000004,OG0000004,OG0000004,OG0000003,OG0000004,OG0000004,OG0000004
OG0000004,OG0000004,OG0000004,OG0000004,OG0000004,OG0000004,OG0000004,OG0000007,OG0000006,OG0000004,OG0000005,OG0000005,OG0000005,OG0000005,OG0000005,OG0000005,OG0000004,OG0000005,OG0000005,OG0000005
OG0000005,OG0000005,OG0000005,OG0000005,OG0000005,OG0000005,OG0000005,OG0000009,OG0000008,OG0000005,OG0000006,OG0000006,OG0000006,OG0000007,OG0000006,OG0000006,OG0000005,OG0000006,OG0000006,OG0000006
OG0000006,OG0000006,OG0000006,OG0000006,OG0000006,OG0000006,OG0000006,OG0000010,OG0000009,OG0000006,OG0000007,OG0000007,OG0000008,OG0000008,OG0000007,OG0000007,OG0000006,OG0000007,OG0000007,OG0000007
OG0000007,OG0000007,OG0000007,OG0000007,OG0000007,OG0000007,OG0000007,OG0000012,OG0000010,OG0000007,OG0000008,OG0000008,OG0000009,OG0000009,OG0000008,OG0000008,OG0000007,OG0000008,OG0000008,OG0000008
OG0000008,OG0000008,OG0000008,OG0000008,OG0000009,OG0000008,OG0000008,OG0000013,OG0000011,OG0000008,OG0000010,OG0000009,OG0000010,OG0000011,OG0000009,OG0000009,OG0000008,OG0000009,OG0000010,OG0000009
OG0000009,OG0000009,OG0000009,OG0000009,OG0000010,OG0000009,OG0000009,OG0000015,OG0000012,OG0000009,OG0000011,OG0000010,OG0000011,OG0000013,OG0000010,OG0000012,OG0000009,OG0000010,OG0000011,OG0000010
OG0000010,OG0000010,OG0000010,OG0000010,OG0000011,OG0000010,OG0000010,OG0000017,OG0000013,OG0000010,OG0000012,OG0000011,OG0000012,OG0000014,OG0000011,OG0000014,OG0000010,OG0000011,OG0000012,OG0000011
OG0000011,OG0000011,OG0000011,OG0000011,OG0000012,OG0000011,OG0000011,OG0000018,OG0000020,OG0000011,OG0000013,OG0000012,OG0000013,OG0000016,OG0000012,OG0000015,OG0000011,OG0000013,OG0000013,OG0000012
OG0000012,OG0000012,OG0000012,OG0000012,OG0000013,OG0000012,OG0000012,OG0000020,OG0000021,OG0000012,OG0000014,OG0000013,OG0000014,OG0000017,OG0000014,OG0000016,OG0000012,OG0000014,OG0000015,OG0000014
OG0000013,OG0000013,OG0000013,OG0000013,OG0000014,OG0000013,OG0000013,OG0000021,OG0000029,OG0000013,OG0000015,OG0000014,OG0000015,OG0000018,OG0000015,OG0000017,OG0000013,OG0000015,OG0000017,OG0000015
OG0000014,OG0000014,OG0000014,OG0000014,OG0000016,OG0000014,OG0000014,OG0000025,,OG0000014,OG0000021,OG0000015,OG0000016,OG0000021,OG0000016,OG0000018,OG0000014,OG0000016,OG0000019,OG0000018
OG0000015,OG0000015,OG0000015,OG0000015,OG0000019,OG0000015,OG0000015,OG0000029,,OG0000015,OG0000025,OG0000021,OG0000017,OG0000025,OG0000017,OG0000021,OG0000016,OG0000017,OG0000020,OG0000019
OG0000016,OG0000016,OG0000016,OG0000016,OG0000020,OG0000016,OG0000016,OG0000033,,OG0000016,OG0000034,,OG0000018,OG0000027,OG0000018,OG0000025,OG0000017,OG0000018,OG0000028,OG0000020
OG0000017,OG0000017,OG0000017,OG0000017,OG0000022,OG0000017,OG0000018,OG0000034,,OG0000017,,,OG0000021,OG0000028,OG0000021,OG0000027,OG0000018,OG0000021,OG0000029,OG0000028
OG0000018,OG0000018,OG0000018,OG0000018,OG0000023,OG0000018,OG0000019,OG0000035,,OG0000019,,,OG0000027,OG0000030,OG0000025,OG0000028,OG0000021,OG0000025,OG0000032,OG0000032
OG0000019,OG0000019,OG0000019,OG0000019,OG0000024,OG0000019,OG0000020,,,OG0000020,,,OG0000028,OG0000031,OG0000027,OG0000030,OG0000025,OG0000027,OG0000033,OG0000033
OG0000020,OG0000022,OG0000020,OG0000020,OG0000026,OG0000020,OG0000022,,,OG0000022,,,OG0000030,,OG0000028,OG0000031,OG0000027,OG0000031,OG0000037,OG0000034
OG0000022,OG0000023,OG0000022,OG0000022,,OG0000022,OG0000023,,,OG0000023,,,OG0000031,,OG0000030,,,,OG0000038,OG0000037
OG0000023,,OG0000023,OG0000023,,OG0000024,OG0000024,,,OG0000024,,,,,,,,,OG0000039,OG0000038
OG0000024,,OG0000024,OG0000024,,OG0000026,OG0000026,,,OG0000026,,,,,,,,,,OG0000039
,,OG0000026,OG0000026,,,,,,OG0000036,,,,,,,,,,